Ticker,Investor Relations Website
TSLA,https://ir.tesla.com/
LU,https://ir.lufaxholding.com/
PLTR,https://investors.palantir.com/
PLUG,https://www.ir.plugpower.com/overview/default.aspx
F,https://shareholder.ford.com/Investors/Home/default.aspx
BAC,https://investor.bankofamerica.com/
AMD,https://ir.amd.com/
AMZN,https://ir.aboutamazon.com/overview/default.aspx
AAPL,https://investor.apple.com/investor-relations/default.aspx
CCL,https://www.carnivalcorp.com/investor-relations
SE,https://www.sea.com/investor
RIVN,https://rivian.com/investors
NIO,https://ir.nio.com/
NVDA,https://investor.nvidia.com/home/default.aspx
SOFI,https://investors.sofi.com/overview/default.aspx
MARA,https://ir.mara.com/
SNAP,https://investor.snap.com/overview/default.aspx
PFE,https://investors.pfizer.com/Investors/Overview/default.aspx
INTC,https://www.intc.com/
NU,https://www.investidores.nu/en/
AAL,https://americanairlines.gcs-web.com/
DNA,https://investors.ginkgobioworks.com/overview/default.aspx
LCID,https://ir.lucidmotors.com/
TME,https://ir.tencentmusic.com/
UBER,https://investor.uber.com/
GOOGL,http://abc.xyz/investor
MPW,https://medicalpropertiestrust.gcs-web.com/
T,https://investors.att.com/
WBD,https://ir.corporate.discovery.com/investor-relations/default.aspx
KEY,https://investor.key.com/corporate-profile/default.aspx
RKLB,https://investors.rocketlabusa.com/overview/default.aspx
VALE,https://www.vale.com/investors
RUN,https://investors.sunrun.com/
NCLH,https://www.nclhltd.com/investors
DKNG,https://draftkings.gcs-web.com/
C,https://www.citigroup.com/global/investors
MSFT,https://www.microsoft.com/en-us/investor
AFRM,https://investors.affirm.com/
RIOT,https://www.riotplatforms.com/investors/
GRAB,https://investors.grab.com/
LYFT,https://investor.lyft.com/overview/default.aspx
ONON,https://investors.on-running.com/home/default.aspx
GM,https://investor.gm.com/
BABA,https://www.alibabagroup.com/en-US/investor-relations
M,https://www.morganstanley.com/about-us-ir
CSCO,https://investor.cisco.com/home/default.aspx
AGNC,https://investors.agnc.com/
U,https://investors.unity.com/overview/default.aspx
GOOG,http://abc.xyz/investor
HBAN,https://ir.huntington.com/
PCG,https://investor.pgecorp.com/investors/default.aspx
CMCSA,https://www.cmcsa.com/
WFC,https://www.wellsfargo.com/about/investor-relations/
XOM,https://investor.exxonmobil.com/
JD,https://ir.jd.com/
SWN,https://ir.swn.com/CorporateProfile/default.aspx
VZ,https://www.verizon.com/about/investors
META,https://investor.fb.com/home/default.aspx
SQ,https://investors.block.xyz/overview/default.aspx
GOLD,https://www.barrick.com/English/investors/default.aspx
PBR,https://www.investidorpetrobras.com.br/en/
PARA,https://ir.paramount.com/
NEM,https://www.newmont.com/investors/default.aspx
TOST,https://investors.toasttab.com/overview/default.aspx
PYPL,https://investor.pypl.com/home/default.aspx
KVUE,https://investors.kenvue.com/overview/default.aspx
ITUB,https://www.itau.com.br/relacoes-com-investidores/en/
KGC,https://www.kinross.com/news-and-investors/default.aspx
CVNA,https://investors.carvana.com/
XPEV,https://ir.xiaopeng.com/
SCHW,https://www.aboutschwab.com/investor-relations
CSX,https://investors.csx.com/overview/default.aspx
TECK,https://www.teck.com/investors/
BBD,https://bombardier.com/en/investors
SHOP,https://investors.shopify.com/home/default.aspx
STNE,https://investors.stone.co/
BKR,https://investors.bakerhughes.com/
TSM,https://investor.tsmc.com/english
NYCB,https://ir.mynycb.com/home/default.aspx
NEE,https://www.investor.nexteraenergy.com/
CLVT,https://ir.clarivate.com/
AI,https://ir.c3.ai/
DIS,https://thewaltdisneycompany.com/investor-relations/
CNHI,https://www.cnhindustrial.com/en-US/Investor-Relations
UPST,https://ir.upstart.com/
FHN,https://www.firsthorizon.com/First-Horizon-Corporation
RLX,https://ir.relxtech.com/
LYG,https://www.lloydsbankinggroup.com/investors.html
BCS,https://home.barclays/investor-relations/
RIG,https://investor.deepwater.com/
RBLX,https://ir.roblox.com/overview/default.aspx
NI,https://investor.ni.com/
HMY,https://www.harmony.co.za/investors/
BRFS,https://ri.brf-global.com/en/
MO,https://www.altria.com/en/Investors/at-a-glance
MS,https://www.morganstanley.com/about-us-ir
CFLT,https://investors.confluent.io/
KMI,https://ir.kindermorgan.com/home/default.aspx
FCX,https://investors.fcx.com/investors/default.aspx
USB,https://ir.usbank.com/
